3
20 11
W 0 0
W 1 0
W 2 0
W 3 0
W 4 0
W 5 0
W 6 0
W 7 0
W 8 0
W 9 0
W 10 0
W 11 0
W 12 0
W 13 0
W 14 0
W 15 0
W 16 0
W 17 0
W 18 0
W 19 0
W 0 1
S 1 1
S 2 1
S 3 1
W 4 1
W 5 1
W 6 1
W 7 1
W 8 1
W 9 1
W 10 1
W 11 1
W 12 1
W 13 1
W 14 1
W 15 1
G 16 1
G 17 1
G 18 1
W 19 1
W 0 2
S 1 2
S 2 2
S 3 2
G 16 2
G 17 2
G 18 2
W 19 2
W 0 3
S 1 3
S 2 3
S 3 3
BP 5 3
BP 13 3
G 15 3
G 16 3
G 17 3
W 18 3
W 0 4
S 1 4
S 2 4
S 3 4
G 16 4
G 17 4
G 18 4
W 19 4
W 0 5
S 1 5
S 2 5
S 3 5
Z 9 5
Z 10 5
G 16 5
G 17 5
G 18 5
W 19 5
W 0 6
S 1 6
S 2 6
S 3 6
Z 9 6
Z 10 6
G 16 6
G 17 6
G 18 6
W 19 6
W 0 7
S 1 7
S 2 7
S 3 7
G 16 7
G 17 7
G 18 7
W 19 7
W 0 8
S 1 8
S 2 8
S 3 8
BP 5 8
BP 13 8
G 15 8
G 16 8
G 17 8
W 18 8
W 0 9
S 1 9
S 2 9
S 3 9
G 16 9
G 17 9
G 18 9
W 19 9
W 0 10
W 1 10
W 2 10
W 3 10
W 4 10
W 5 10
W 6 10
W 7 10
W 8 10
W 9 10
W 10 10
W 11 10
W 12 10
W 13 10
W 14 10
W 15 10
W 16 10
W 17 10
W 18 10
W 19 10
