2
21 9
W 0 0
W 1 0
W 2 0
W 3 0
W 4 0
W 5 0
W 6 0
W 7 0
W 8 0
W 9 0
W 10 0
W 11 0
W 12 0
W 13 0
W 14 0
W 15 0
W 16 0
W 17 0
W 18 0
W 19 0
W 0 1
S 1 1
S 2 1
S 3 1
G 16 1
G 17 1
G 18 1
W 19 1
W 0 2
S 1 2
S 2 2
S 3 2
BV 5 2
BV 7 2
BV 9 2
BV 11 2
G 17 2
G 18 2
G 19 2
W 20 2
W 0 3
S 1 3
S 2 3
S 3 3
G 16 3
G 17 3
G 18 3
W 19 3
W 0 4
S 1 4
S 2 4
S 3 4
PG 6 4
PB 8 4
PR 10 4
G 16 4
G 17 4
G 18 4
W 19 4
W 0 5
S 1 5
S 2 5
S 3 5
G 16 5
G 17 5
G 18 5
W 19 5
W 0 6
S 1 6
S 2 6
S 3 6
BV 5 6
BV 7 6
BV 9 6
BV 11 6
G 14 6
G 15 6
G 16 6
W 17 6
W 0 7
S 1 7
S 2 7
S 3 7
G 16 7
G 17 7
G 18 7
W 19 7
W 0 8
W 1 8
W 2 8
W 3 8
W 4 8
W 5 8
W 6 8
W 7 8
W 8 8
W 9 8
W 10 8
W 11 8
W 12 8
W 13 8
W 14 8
W 15 8
W 16 8
W 17 8
W 18 8
W 19 8
